n_nodes, n_reps, sim_an, monte_carlo, greedy, greedyK, sim_an_t, monte_carlo_t, greedy_t, greedyK_t, area, circle
4, 8, 3.6168, 3.6168, 3.6168, 3.6168, 0.0071125, 0.0019625, 0.0037125, 0.0107, 10, False
4, 8, 5.8364, 5.8364, 5.875, 5.875, 0.006225, 0.0004125, 0.0004625, 0.000425, 10, False
4, 8, 8.9681, 8.9681, 8.9681, 8.9681, 0.006625, 0.000175, 0.00035, 0.000225, 100, False
4, 8, 16.8534, 16.8534, 17.1511, 17.1511, 0.0034125, 0.0001625, 0.000325, 0.0001125, 100, False
4, 8, 24.2001, 24.2001, 24.2001, 24.2001, 0.001625, 0.0001875, 0.000325, 0.0001125, 1000, False
4, 8, 75.3516, 75.3516, 77.8309, 77.8309, 0.605125, 0.166375, 0.339, 0.12275, 1000, False
8, 8, 4.0229, 4.0662, 4.0662, 4.0662, 0.0059625, 0.000175, 0.0006875, 0.0003125, 10, False
8, 8, 9.9612, 9.9612, 9.9612, 9.9612, 0.0038875, 0.00015, 0.0007, 0.0002, 10, False
8, 8, 12.7187, 12.9519, 12.9519, 12.9519, 0.002425, 0.000175, 0.0007, 0.0002, 100, False
8, 8, 19.2798, 19.2798, 23.8039, 23.8039, 0.0032125, 0.0001875, 0.0006875, 0.0002, 100, False
8, 8, 28.3418, 28.3418, 31.5546, 31.5546, 0.002675, 0.0001875, 0.0006875, 0.001275, 1000, False
8, 8, 75.6165, 78.4137, 80.9375, 80.9375, 0.001525, 0.0001625, 0.000675, 0.0002, 1000, False
16, 8, 6.0675, 9.3588, 6.135, 8.8608, 0.0054875, 0.0002125, 0.0013, 0.0066375, 10, False
16, 8, 11.5361, 16.5269, 11.3334, 11.3334, 0.0043875, 0.0002, 0.0013125, 0.0014125, 10, False
16, 8, 17.0913, 30.014, 21.9587, 23.0936, 0.0029375, 0.000225, 0.0013375, 0.0008875, 100, False
16, 8, 43.6264, 56.13, 35.4703, 45.0929, 0.0038125, 0.0002, 0.0014, 0.000875, 100, False
16, 8, 82.0145, 87.0602, 68.6943, 68.6943, 0.005375, 0.0002125, 0.0013, 0.0014375, 1000, False
16, 8, 191.8119, 161.4866, 137.3571, 142.8081, 0.0030875, 0.0002125, 0.0013, 0.0010125, 1000, False
32, 8, 13.5514, 16.7496, 9.0581, 9.2743, 0.006075, 0.0002625, 0.002575, 0.0017, 10, False
32, 8, 29.9322, 35.5008, 19.0738, 21.1137, 0.00435, 0.00025, 0.0025125, 0.0021875, 10, False
32, 8, 41.0075, 55.1329, 27.6531, 30.341, 0.0042125, 0.0003, 0.0025125, 0.001575, 100, False
32, 8, 118.9599, 109.9232, 59.1476, 58.8891, 0.0047125, 0.000275, 0.0025125, 0.00215, 100, False
32, 8, 180.6152, 175.7665, 97.4931, 106.9181, 0.00265, 0.0002625, 0.0025, 0.0028375, 1000, False
32, 8, 344.6538, 364.5495, 186.0098, 183.0825, 0.0015375, 0.0002625, 0.0025125, 0.001575, 1000, False
64, 8, 29.8918, 39.046, 12.7583, 13.3381, 0.005875, 0.000475, 0.0051, 0.003625, 10, False
64, 8, 62.6713, 78.6245, 24.1475, 30.7084, 0.00505, 0.00045, 0.0051, 0.004325, 10, False
64, 8, 101.5588, 113.8796, 44.2074, 52.6237, 0.0048625, 0.0004625, 0.005075, 0.003775, 100, False
64, 8, 224.8615, 244.1224, 83.5995, 90.5548, 0.003325, 0.000475, 0.0051, 0.0037125, 100, False
64, 8, 348.6488, 368.5428, 116.9656, 135.7476, 0.003325, 0.0005625, 0.0050875, 0.004325, 1000, False
64, 8, 698.5358, 729.5763, 236.8808, 289.8781, 0.0022, 0.000475, 0.005075, 0.00375, 1000, False
128, 8, 69.0334, 78.998, 16.6105, 20.2251, 0.0065375, 0.0008, 0.010325, 0.0072375, 10, False
128, 8, 139.3076, 159.8812, 32.7496, 43.614, 0.0058875, 0.0008, 0.0103, 0.0078125, 10, False
128, 8, 230.8504, 250.7977, 52.1491, 60.5451, 0.0052, 0.0007375, 0.0102625, 0.007175, 100, False
128, 8, 454.999, 500.175, 101.9912, 116.6418, 0.00345, 0.0007375, 0.0102875, 0.008375, 100, False
128, 8, 677.035, 755.3976, 187.1438, 212.279, 0.0031875, 0.0007375, 0.010325, 0.007325, 1000, False
128, 8, 1586.3, 1617.2, 362.7, 440.1, 0.0018125, 0.000775, 0.0102875, 0.00795, 1000, False
256, 8, 146.9481, 158.9322, 24.5435, 28.1976, 0.0074625, 0.0013375, 0.021525, 0.0123875, 10, False
256, 8, 285.4775, 314.4302, 49.5569, 56.2298, 0.0056875, 0.0015375, 0.0214875, 0.012375, 10, False
256, 8, 469.3262, 492.3053, 74.9779, 87.3039, 0.00485, 0.0014875, 0.02145, 0.0128375, 100, False
256, 8, 954.4, 995.7, 147.4, 170.2, 0.0043875, 0.0014625, 0.0215375, 0.0128875, 100, False
256, 8, 1484.3, 1565.2, 233.4, 270.7, 0.00375, 0.0013625, 0.02155, 0.0123375, 1000, False
256, 8, 3047.9, 2989.2, 464.6, 510.6, 0.0028125, 0.00165, 0.0215, 0.01165, 1000, False
512, 8, 297.1564, 324.2835, 32.0777, 40.1551, 0.007425, 0.0025625, 0.0452125, 0.018125, 10, False
